Source,State,Open Data Website,Last Checked Date,Last Checked By,NO DATA,Crashes,Crashes - Incidents,Crashes - Civilians,Crashes - Vehicles,Arrests,Bail,Calls for Service,Citations,Complaints,COMPLAINTS – BACKGROUND,Complaints – Civilians,COMPLAINTS – OFFICERS,COMPLAINTS – ALLEGATIONS,COMPLAINTS – PENALTIES,Death in Custody,Diversion Program,Employee Demographics,Field Contacts,Incidents,Officer-Involved Shootings,Officer-Involved Shootings - Incidents,Officer-Involved Shootings - Civilians,Officer-Involved Shootings - Officers,Stops,Pedestrian Stops,Pedestrian Citations,Pedestrian Warnings,Pedestrian Arrests,Traffic Citations,Traffic Stops,Traffic Arrests,Traffic Warnings,Show of Force,Use of Force,Use of Force - Incidents,Use of Force  - Civilians/Officers,Use of Force  - Civilians,Use of Force  - Officers,Vehicle Pursuits,Comments
Chamblee,Georgia,https://data-chamblee.opendata.arcgis.com/search?tags=safety,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton,Georgia,https://map-cantonga.opendata.arcgis.com/search?tags=public%20safety,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookhaven,Georgia,https://data-brookhavenga.opendata.arcgis.com/search,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,Washington,https://data.auburnwa.gov/browse?category=Public+Safety&limitTo=datasets,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bremerton,Washington,http://www.bremertonwa.gov/991/Statistics,4/26/2022,sowdm,,,,,,,,,Issue #78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gainesville,Florida,https://data.cityofgainesville.org/browse?category=Public+Safety&limitTo=datasets&q=&sortBy=relevance,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton,Virginia,https://data.hampton.gov/browse?limitTo=datasets&tags=hpd,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk,Virginia,https://data.norfolk.gov/browse?category=Public+Safety&limitTo=datasets,3/16/2023,sowdm,,,,,,has names,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,Added,,,,,,
Winchester,Virginia,https://city-of-winchester-open-data-1-winchestercity.hub.arcgis.com/search?tags=safety,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henrico County,Virginia,https://data-henrico.opendata.arcgis.com/search?tags=PublicSafety,4/26/2022,sowdm,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence,Rhode Island,https://data.providenceri.gov/browse?category=Public+Safety&limitTo=datasets,4/27/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
